CSR,User,Supervisor,Machine
medeleg,Not allowed,Not allowed,Allowed
medelegh,Undetermined,Undetermined,Undetermined
mideleg,Not allowed,Not allowed,Allowed
mcause,Not allowed,Not allowed,Allowed
mtval,Not allowed,Not allowed,Allowed
mscratch,Not allowed,Not allowed,Allowed
scounteren,Not allowed,Allowed,Allowed
mcounteren,Not allowed,Not allowed,Allowed
mcountinhibit,Not allowed,Not allowed,Allowed
mvendorid,Not allowed,Not allowed,Allowed
marchid,Not allowed,Not allowed,Allowed
mimpid,Not allowed,Not allowed,Allowed
mhartid,Not allowed,Not allowed,Allowed
mconfigptr,Undetermined,Undetermined,Undetermined
sstatus,Not allowed,Allowed,Allowed
sip,Not allowed,Allowed,Allowed
sie,Not allowed,Allowed,Allowed
sscratch,Not allowed,Allowed,Allowed
scause,Not allowed,Allowed,Allowed
stval,Not allowed,Allowed,Allowed
tselect,Not allowed,Not allowed,Allowed
tdata1,Not allowed,Not allowed,Not allowed
tdata2,Not allowed,Not allowed,Not allowed
tdata3,Not allowed,Not allowed,Not allowed
seed,Not allowed,Not allowed,Not allowed
vstart,Conditional,Conditional,Conditional
vxsat,Conditional,Conditional,Conditional
vxrm,Conditional,Conditional,Conditional
vcsr,Conditional,Conditional,Conditional
vl,Conditional,Conditional,Conditional
vtype,Conditional,Conditional,Conditional
vlenb,Undetermined,Undetermined,Undetermined
satp,Not allowed,Conditional,Allowed
